Symbol,Name,Market Cap,Sector,Industry
AAPL,Apple Inc.,$2.825 T,Technology,Consumer Electronics
MSFT,Microsoft Corporation,$2.328 T,Technology,Software—Infrastructure
UNH,UnitedHealth Group Incorporated,$488.52 B,Healthcare,Healthcare Plans
V,Visa Inc.,$486.77 B,Financials,Credit Services
JNJ,Johnson & Johnson,$475.93 B,Healthcare,Drug Manufacturers—General
WMT,Walmart Inc.,$429.05 B,Consumer Staples,Discount Stores
JPM,JPMorgan Chase & Co.,$410.84 B,Financials,Banks
PG,The Procter & Gamble Company,$384.60 B,Consumer Staples,Household & Personal Products
HD,"The Home Depot, Inc.",$321.47 B,Consumer Discretionary,Home Improvement Retail
CVX,Chevron Corporation,$315.13 B,Energy,Oil & Gas Integrated
KO,The Coca-Cola Company,$273.20 B,Consumer Staples,Beverages—Non-Alcoholic
DIS,The Walt Disney Company,$247.88 B,Communication Services,Entertainment
CSCO,"Cisco Systems, Inc.",$238.45 B,Technology,Communication Equipment
VZ,Verizon Communications Inc.,$216.68 B,Communication Services,Telecom Services
NKE,"Nike, Inc.",$213.60 B,Consumer Discretionary,Footwear & Accessories
MRK,"Merck & Co., Inc.",$210.38 B,Healthcare,Drug Manufacturers—General
INTC,Intel Corporation,$201.72 B,Technology,Semiconductors
CRM,"salesforce.com, inc.",$193.80 B,Technology,Software—Application
MCD,McDonald's Corporation,$186.57 B,Consumer Discretionary,Restaurants
AXP,American Express Company,$150.76 B,Financials,Credit Services
AMGN,Amgen Inc.,$141.72 B,Healthcare,Drug Manufacturers—General
HON,Honeywell International Inc.,$136.48 B,Industrials,Specialty Industrial Machinery
CAT,Caterpillar Inc.,$124.13 B,Industrials,Farm & Heavy Construction Machinery
IBM,International Business Machines Corporation,$119.20 B,Technology,Information Technology Services
GS,"The Goldman Sachs Group, Inc.",$112.71 B,Financials,Capital Markets
BA,The Boeing Company,$110.46 B,Industrials,Aerospace & Defense
MMM,3M Company,$88.77 B,Industrials,Specialty Industrial Machinery
DOW,Dow Inc.,$48.50 B,Basic Materials,Chemicals
TRV,"The Travelers Companies, Inc.",$45.56 B,Financials,Insurance—Property & Casualty
WBA,"Walgreens Boots Alliance, Inc.",$40.55 B,Healthcare,Pharmaceutical Retailers
